label,obj193|view_00019|lamp,obj194|view_00019|chair,obj195|view_00019|table,obj256|view_00024|lamp,obj257|view_00024|couch,obj258|view_00024|table,obj265|view_00024|chair,obj266|view_00024|table,obj661|view_00058|chair,obj663|view_00058|table,obj667|view_00058|ceiling light,obj750|view_00065|mirror,obj751|view_00065|tv
obj193|view_00019|lamp,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6054,0.8270,0.0000,0.0000
obj194|view_00019|chair,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.6424,0.0000,0.7777,0.0000,0.0000,0.0000,0.0000
obj195|view_00019|table,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.7564,0.0000,0.7217,0.0000,0.0000,0.0000
obj256|view_00024|lamp,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6035,0.0000,0.0000
obj257|view_00024|couch,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.6160,0.0000,0.0000,0.0000,0.0000
obj258|view_00024|table,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.6006,0.0000,0.0000,0.0000,0.0000
obj265|view_00024|chair,0.0000,0.6424,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.7580,0.0000,0.0000,0.0000,0.0000
obj266|view_00024|table,0.0000,0.0000,0.7564,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
obj661|view_00058|chair,0.0000,0.7777,0.0000,0.0000,0.6160,0.6006,0.7580,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
obj663|view_00058|table,0.6054,0.0000,0.7217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
obj667|view_00058|ceiling light,0.8270,0.0000,0.0000,0.6035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
obj750|view_00065|mirror,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
obj751|view_00065|tv,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
