label,obj193|view_00019|lamp,obj194|view_00019|chair,obj195|view_00019|table,obj256|view_00024|lamp,obj257|view_00024|couch,obj258|view_00024|table,obj265|view_00024|chair,obj266|view_00024|table,obj661|view_00058|chair,obj663|view_00058|table,obj667|view_00058|ceiling light,obj750|view_00065|mirror,obj751|view_00065|tv
obj193|view_00019|lamp,1.0000,0.6238,0.6474,0.5634,0.4543,0.5606,0.4469,0.4471,0.4507,0.6054,0.8270,0.4676,0.4884
obj194|view_00019|chair,0.6238,1.0000,0.6335,0.4342,0.5583,0.4936,0.6424,0.4964,0.7777,0.5730,0.5660,0.4182,0.4366
obj195|view_00019|table,0.6474,0.6335,1.0000,0.4118,0.4914,0.4975,0.4763,0.7564,0.4748,0.7217,0.5954,0.4566,0.4921
obj256|view_00024|lamp,0.5634,0.4342,0.4118,1.0000,0.5011,0.6297,0.4639,0.3974,0.5351,0.4786,0.6035,0.5802,0.5534
obj257|view_00024|couch,0.4543,0.5583,0.4914,0.5011,1.0000,0.6546,0.5906,0.4560,0.6160,0.4765,0.4733,0.4973,0.5542
obj258|view_00024|table,0.5606,0.4936,0.4975,0.6297,0.6546,1.0000,0.5791,0.5011,0.6006,0.5277,0.5282,0.5155,0.5652
obj265|view_00024|chair,0.4469,0.6424,0.4763,0.4639,0.5906,0.5791,1.0000,0.5786,0.7580,0.4196,0.4036,0.4490,0.5047
obj266|view_00024|table,0.4471,0.4964,0.7564,0.3974,0.4560,0.5011,0.5786,1.0000,0.5039,0.5676,0.3889,0.3944,0.4448
obj661|view_00058|chair,0.4507,0.7777,0.4748,0.5351,0.6160,0.6006,0.7580,0.5039,1.0000,0.4394,0.4268,0.4759,0.5028
obj663|view_00058|table,0.6054,0.5730,0.7217,0.4786,0.4765,0.5277,0.4196,0.5676,0.4394,1.0000,0.6041,0.4907,0.4996
obj667|view_00058|ceiling light,0.8270,0.5660,0.5954,0.6035,0.4733,0.5282,0.4036,0.3889,0.4268,0.6041,1.0000,0.4413,0.4643
obj750|view_00065|mirror,0.4676,0.4182,0.4566,0.5802,0.4973,0.5155,0.4490,0.3944,0.4759,0.4907,0.4413,1.0000,0.7850
obj751|view_00065|tv,0.4884,0.4366,0.4921,0.5534,0.5542,0.5652,0.5047,0.4448,0.5028,0.4996,0.4643,0.7850,1.0000
