label,view_00019|mirror|obj191,view_00019|lamp|obj193,view_00019|chair|obj194,view_00019|table|obj195,view_00019|ceiling light|obj196,view_00019|refrigerator|obj197,view_00019|door|obj198,view_00019|table|obj199,view_00019|cabinet|obj200,view_00019|window|obj201,view_00019|sink|obj203,view_00024|lamp|obj256,view_00024|couch|obj257,view_00024|table|obj258,view_00024|stairs|obj259,view_00024|door|obj262,view_00024|chair|obj265,view_00024|table|obj266,view_00024|art|obj267,view_00058|chair|obj661,view_00058|table|obj663,view_00058|pet item|obj665,view_00058|cabinet|obj666,view_00058|ceiling light|obj667,view_00058|microwave|obj668,view_00058|window|obj669,view_00058|sink|obj671,view_00058|stove|obj672,view_00058|unknown|obj673,view_00058|chair|obj674,view_00058|table|obj675,view_00058|curtain|obj676,view_00058|tv|obj677,view_00058|plant|obj679,view_00065|chair|obj747,view_00065|table|obj748,view_00065|window|obj749,view_00065|mirror|obj750,view_00065|tv|obj751,view_00065|chair|obj752,view_00065|ceiling light|obj753,view_00065|picture frame|obj754,view_00065|window|obj755,view_00065|couch|obj756,view_00065|lamp|obj758,view_00065|stairs|obj759,view_00065|couch|obj760,view_00065|plant|obj761,view_00065|table|obj762
view_00019|mirror|obj191,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
view_00019|lamp|obj193,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6054,0.0000,0.0000,0.8270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
view_00019|chair|obj194,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6424,0.0000,0.0000,0.7777,0.0000,0.0000,0.6167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6483,0.0000,0.0000,0.0000,0.0000,0.6975,0.6068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
view_00019|table|obj195,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7564,0.0000,0.0000,0.7217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
view_00019|ceiling light|obj196,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
view_00019|refrigerator|obj197,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6392,0.6154,0.7168,0.0000,0.0000,0.6490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6348,0.6039,0.6268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
view_00019|door|obj198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6589,0.0000,0.0000,0.6105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6218,0.0000,0.0000,0.0000,0.6898,0.6310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
view_00019|table|obj199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6234,0.0000,0.6955,0.0000,0.0000,0.6781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6396,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
view_00019|cabinet|obj200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.6086,0.6086,0.0000,0.0000,0.6732,0.0000,0.0000,0.0000,0.0000,0.0000,0.7256,0.0000,0.0000,0.0000,0.0000,0.0000,0.6290,0.6314,0.7443,0.6103,0.7298,0.6156,0.0000,0.0000,0.0000,0.0000,0.6332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6310,0.6444,0.7222
view_00019|window|obj201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7806,0.0000,0.0000,0.0000,0.0000,0.0000,0.6796,0.0000,0.0000,0.0000,0.0000,0.7020,0.0000,0.0000,0.0000,0.0000,0.0000,0.6643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
