object,cabinet#130,cabinet#134,cabinet#135,cabinet#136,cabinet#140,cabinet#141,cabinet#143,cabinet#145,cabinet#146,cabinet#147,chair#131,chair#132,chair#139,clock#137,coffee maker#138,coffee maker#142,dining table#133,outlet#144,picture frame#129,refrigerator#128,clock#200,couch#199,shelf#202,side table#201,side table#203,side table#204,side table#205,cabinet#523,cabinet#524,cabinet#525,cabinet#526,cabinet#527,chair#518,chair#519,coffee maker#529,coffee maker#531,fireplace#528,fireplace#530,microwave#520,oven#521,side table#522,side table#532,chair#593,clock#589,couch#588,couch#592,fireplace#594,fireplace#595,side table#587,side table#590,table lamp#591
cabinet#130,1.000000,0.678666,0.759287,0.662173,0.740532,0.748099,0.845828,0.829877,0.743936,0.754418,0.357445,0.406756,0.474290,0.365504,0.420976,0.354005,0.413677,0.471296,0.419717,0.509810,0.424397,0.523525,0.249364,0.445689,0.451008,0.573296,0.528522,0.779446,0.761184,0.803413,0.720128,0.831783,0.470037,0.312385,0.376443,0.394420,0.424859,0.398823,0.471015,0.408773,0.576703,0.513689,0.478232,0.393385,0.485478,0.509695,0.463256,0.335818,0.290892,0.502494,0.206383
cabinet#134,0.678666,1.000000,0.632252,0.557079,0.604234,0.650352,0.627437,0.700064,0.563372,0.770101,0.357178,0.441443,0.497346,0.339335,0.350980,0.361755,0.355348,0.365402,0.342098,0.444978,0.310227,0.511372,0.203757,0.427744,0.494474,0.528671,0.522578,0.692793,0.753628,0.763148,0.743157,0.693066,0.365959,0.412583,0.367135,0.310327,0.311087,0.344183,0.340051,0.477812,0.520128,0.396927,0.518571,0.341428,0.458304,0.535303,0.457468,0.358183,0.391872,0.412697,0.259862
cabinet#135,0.759287,0.632252,1.000000,0.604883,0.663523,0.666512,0.684950,0.751720,0.652725,0.582689,0.341668,0.397148,0.515004,0.355520,0.388055,0.368513,0.440804,0.349719,0.355832,0.499791,0.385991,0.537694,0.287806,0.378891,0.377033,0.392501,0.449470,0.732766,0.788393,0.679079,0.681865,0.720356,0.498276,0.260889,0.377385,0.403256,0.363234,0.369821,0.468850,0.380877,0.511653,0.510468,0.487630,0.311900,0.496171,0.521874,0.401754,0.290886,0.297970,0.503304,0.259935
cabinet#136,0.662173,0.557079,0.604883,1.000000,0.658142,0.709228,0.624632,0.595557,0.683091,0.506358,0.367470,0.333107,0.445510,0.362835,0.446314,0.379515,0.447860,0.349505,0.352719,0.462710,0.390999,0.433743,0.266457,0.395053,0.403024,0.487784,0.443331,0.580309,0.620556,0.625295,0.604518,0.620149,0.381955,0.258650,0.400466,0.445610,0.381263,0.347272,0.464877,0.430477,0.573044,0.395729,0.355664,0.333490,0.363250,0.381103,0.348434,0.330614,0.335887,0.495040,0.282967
cabinet#140,0.740532,0.604234,0.663523,0.658142,1.000000,0.743084,0.754634,0.743824,0.822539,0.572563,0.363248,0.435611,0.436839,0.388873,0.517820,0.396283,0.541045,0.438336,0.414642,0.454279,0.418088,0.540947,0.316346,0.399568,0.383352,0.499730,0.463873,0.621686,0.636191,0.603937,0.591828,0.603278,0.531889,0.344523,0.392648,0.426434,0.429795,0.383391,0.399029,0.424929,0.628007,0.502245,0.422468,0.401924,0.440695,0.442312,0.404251,0.350027,0.291543,0.480236,0.313578
cabinet#141,0.748099,0.650352,0.666512,0.709228,0.743084,1.000000,0.735349,0.694246,0.759746,0.638031,0.458443,0.512480,0.490518,0.436610,0.497139,0.448649,0.397545,0.440779,0.372591,0.519020,0.443443,0.539113,0.250188,0.446884,0.475932,0.555971,0.505597,0.648910,0.695270,0.717169,0.736025,0.668983,0.510941,0.394581,0.409878,0.450922,0.370382,0.409241,0.473543,0.494035,0.686865,0.427826,0.519726,0.433113,0.498298,0.534910,0.416495,0.326954,0.373198,0.603796,0.220678
cabinet#143,0.845828,0.627437,0.684950,0.624632,0.754634,0.735349,1.000000,0.776302,0.781690,0.732071,0.409991,0.454762,0.389905,0.362148,0.506164,0.377125,0.423011,0.481135,0.369458,0.548100,0.459075,0.504561,0.245973,0.476762,0.420120,0.562256,0.476666,0.785878,0.704732,0.697675,0.677345,0.736251,0.520776,0.381501,0.397753,0.410691,0.411332,0.346240,0.469153,0.447207,0.600721,0.503908,0.406936,0.425715,0.492961,0.456881,0.454002,0.346080,0.327721,0.545128,0.248070
cabinet#145,0.829877,0.700064,0.751720,0.595557,0.743824,0.694246,0.776302,1.000000,0.745041,0.715376,0.360253,0.423852,0.514353,0.349762,0.422894,0.357505,0.448288,0.439800,0.421311,0.477553,0.402350,0.508739,0.309896,0.439448,0.449399,0.507501,0.482096,0.774862,0.746378,0.721555,0.665740,0.705170,0.437875,0.312281,0.369223,0.350826,0.406054,0.379118,0.398236,0.401424,0.547672,0.493440,0.440262,0.396632,0.464963,0.483764,0.456115,0.332244,0.311781,0.457815,0.300253
cabinet#146,0.743936,0.563372,0.652725,0.683091,0.822539,0.759746,0.781690,0.745041,1.000000,0.622024,0.376991,0.439810,0.430446,0.445522,0.556062,0.438132,0.523512,0.474436,0.379377,0.473858,0.506518,0.509960,0.329588,0.473192,0.435782,0.598165,0.478633,0.660209,0.621521,0.613860,0.579735,0.616960,0.492879,0.353668,0.409921,0.459302,0.484748,0.407799,0.421551,0.383816,0.653536,0.589820,0.411894,0.457862,0.427711,0.421930,0.447156,0.383311,0.333365,0.520955,0.325570
cabinet#147,0.754418,0.770101,0.582689,0.506358,0.572563,0.638031,0.732071,0.715376,0.622024,1.000000,0.297165,0.414371,0.415462,0.337432,0.369445,0.342573,0.304064,0.448834,0.378961,0.532214,0.322785,0.484392,0.208173,0.459461,0.514435,0.673969,0.512263,0.755598,0.697371,0.808134,0.733696,0.759753,0.335592,0.428784,0.362944,0.305434,0.318053,0.371885,0.390904,0.507558,0.487777,0.415145,0.504951,0.407062,0.438903,0.513788,0.500279,0.336076,0.348629,0.377323,0.190661
chair#131,0.357445,0.357178,0.341668,0.367470,0.363248,0.458443,0.409991,0.360253,0.376991,0.297165,1.000000,0.688168,0.517215,0.367447,0.386348,0.287033,0.307357,0.212429,0.201267,0.219700,0.399118,0.425376,0.112496,0.397030,0.370562,0.271741,0.335325,0.377619,0.356454,0.317166,0.331665,0.342858,0.492009,0.553629,0.308412,0.320160,0.252059,0.241382,0.244184,0.263036,0.541439,0.402740,0.412703,0.294209,0.411556,0.443278,0.250084,0.325545,0.376491,0.439917,0.273710
chair#132,0.406756,0.441443,0.397148,0.333107,0.435611,0.512480,0.454762,0.423852,0.439810,0.414371,0.688168,1.000000,0.635009,0.311168,0.344786,0.281110,0.316810,0.283822,0.220763,0.255754,0.296481,0.445556,0.146461,0.363336,0.363618,0.338661,0.363840,0.439515,0.425541,0.372385,0.389439,0.408280,0.433263,0.667525,0.260845,0.288243,0.259285,0.263975,0.231244,0.284487,0.544734,0.318399,0.367639,0.209462,0.372899,0.392605,0.258767,0.354659,0.402550,0.431772,0.253970
chair#139,0.474290,0.497346,0.515004,0.445510,0.436839,0.490518,0.389905,0.514353,0.430446,0.415462,0.517215,0.635009,1.000000,0.286330,0.228843,0.244935,0.394339,0.280509,0.293022,0.274770,0.286443,0.487277,0.138472,0.333210,0.372968,0.347204,0.372768,0.502654,0.513037,0.492566,0.470159,0.485505,0.351026,0.388357,0.270996,0.248437,0.301014,0.288332,0.278239,0.291951,0.447366,0.334195,0.411171,0.217907,0.386841,0.429207,0.251042,0.327061,0.398272,0.394050,0.380249
clock#137,0.365504,0.339335,0.355520,0.362835,0.388873,0.436610,0.362148,0.349762,0.445522,0.337432,0.367447,0.311168,0.286330,1.000000,0.469116,0.364481,0.273625,0.501896,0.301228,0.276719,0.807746,0.358322,0.184798,0.316062,0.274525,0.373330,0.314280,0.341263,0.374731,0.351549,0.334619,0.352908,0.350449,0.363503,0.377203,0.363921,0.383240,0.387628,0.300800,0.276303,0.402518,0.422058,0.384644,0.725657,0.350059,0.380776,0.335958,0.400237,0.236588,0.335593,0.290987
coffee maker#138,0.420976,0.350980,0.388055,0.446314,0.517820,0.497139,0.506164,0.422894,0.556062,0.369445,0.386348,0.344786,0.228843,0.469116,1.000000,0.701964,0.373428,0.411313,0.318663,0.375597,0.482315,0.391380,0.259762,0.342911,0.316688,0.385078,0.350527,0.400043,0.387978,0.356785,0.352902,0.357569,0.413037,0.281812,0.648617,0.692978,0.344101,0.423395,0.452697,0.422486,0.458281,0.475407,0.337085,0.444826,0.340484,0.370104,0.391215,0.338675,0.279708,0.412812,0.250423
coffee maker#142,0.354005,0.361755,0.368513,0.379515,0.396283,0.448649,0.377125,0.357505,0.438132,0.342573,0.287033,0.281110,0.244935,0.364481,0.701964,1.000000,0.290625,0.372723,0.250409,0.438963,0.413953,0.339699,0.332002,0.285081,0.296457,0.344203,0.278764,0.338754,0.373216,0.345817,0.344902,0.302942,0.344523,0.228932,0.774438,0.783683,0.317651,0.346874,0.543625,0.504022,0.369466,0.383858,0.346350,0.421501,0.318234,0.354872,0.363444,0.343120,0.293656,0.327565,0.296751
dining table#133,0.413677,0.355348,0.440804,0.447860,0.541045,0.397545,0.423011,0.448288,0.523512,0.304064,0.307357,0.316810,0.394339,0.273625,0.373428,0.290625,1.000000,0.321873,0.239874,0.327148,0.292550,0.426868,0.244578,0.369458,0.302205,0.399192,0.489227,0.424372,0.385980,0.317972,0.322619,0.356582,0.355866,0.197066,0.262943,0.311080,0.342821,0.313458,0.284010,0.195356,0.525410,0.455335,0.306361,0.271349,0.315595,0.300529,0.281007,0.361376,0.308350,0.432909,0.334610
outlet#144,0.471296,0.365402,0.349719,0.349505,0.438336,0.440779,0.481135,0.439800,0.474436,0.448834,0.212429,0.283822,0.280509,0.501896,0.411313,0.372723,0.321873,1.000000,0.300660,0.379212,0.461981,0.354300,0.291710,0.266322,0.267932,0.453568,0.310754,0.392653,0.358983,0.363960,0.331940,0.401677,0.345017,0.382659,0.360885,0.337538,0.421917,0.329460,0.276840,0.293421,0.381409,0.434878,0.315544,0.568928,0.331113,0.342353,0.352318,0.401270,0.207065,0.285039,0.302245
picture frame#129,0.419717,0.342098,0.355832,0.352719,0.414642,0.372591,0.369458,0.421311,0.379377,0.378961,0.201267,0.220763,0.293022,0.301228,0.318663,0.250409,0.239874,0.300660,1.000000,0.276620,0.310291,0.285095,0.224988,0.257363,0.289700,0.360885,0.310396,0.376342,0.342543,0.339432,0.280990,0.403705,0.296655,0.214937,0.313215,0.275793,0.217670,0.217257,0.185269,0.271011,0.293249,0.302073,0.316224,0.271330,0.260572,0.317619,0.283602,0.205856,0.202641,0.322366,0.253527
refrigerator#128,0.509810,0.444978,0.499791,0.462710,0.454279,0.519020,0.548100,0.477553,0.473858,0.532214,0.219700,0.255754,0.274770,0.276719,0.375597,0.438963,0.327148,0.379212,0.276620,1.000000,0.281519,0.357496,0.308622,0.259017,0.224169,0.424180,0.280240,0.556617,0.543447,0.499524,0.501873,0.549505,0.314846,0.193083,0.455385,0.453615,0.302306,0.298084,0.549298,0.467684,0.347241,0.409831,0.339876,0.353273,0.347704,0.354402,0.324019,0.216699,0.238297,0.302170,0.202409
clock#200,0.424397,0.310227,0.385991,0.390999,0.418088,0.443443,0.459075,0.402350,0.506518,0.322785,0.399118,0.296481,0.286443,0.807746,0.482315,0.413953,0.292550,0.461981,0.310291,0.281519,1.000000,0.332778,0.241031,0.325057,0.249707,0.332065,0.293457,0.351396,0.350051,0.332189,0.307220,0.353488,0.424506,0.350250,0.403636,0.341275,0.410746,0.377899,0.328118,0.266746,0.399472,0.486611,0.316108,0.739903,0.369550,0.342746,0.342214,0.373587,0.241366,0.325418,0.309352
couch#199,0.523525,0.511372,0.537694,0.433743,0.540947,0.539113,0.504561,0.508739,0.509960,0.484392,0.425376,0.445556,0.487277,0.358322,0.391380,0.339699,0.426868,0.354300,0.285095,0.357496,0.332778,1.000000,0.199771,0.506670,0.495083,0.486558,0.546570,0.513710,0.593543,0.517888,0.515905,0.487350,0.625537,0.305839,0.385561,0.368218,0.301300,0.410134,0.360386,0.410106,0.694320,0.454107,0.730554,0.303567,0.818400,0.801380,0.411356,0.394235,0.484645,0.511792,0.287958
shelf#202,0.249364,0.203757,0.287806,0.266457,0.316346,0.250188,0.245973,0.309896,0.329588,0.208173,0.112496,0.146461,0.138472,0.184798,0.259762,0.332002,0.244578,0.291710,0.224988,0.308622,0.241031,0.199771,1.000000,0.266621,0.271262,0.221052,0.216472,0.194203,0.259971,0.176866,0.241988,0.217679,0.233337,0.170262,0.255081,0.273941,0.319661,0.225241,0.260817,0.292334,0.230398,0.294887,0.192336,0.299189,0.200055,0.211132,0.272495,0.324049,0.350795,0.216547,0.254240
side table#201,0.445689,0.427744,0.378891,0.395053,0.399568,0.446884,0.476762,0.439448,0.473192,0.459461,0.397030,0.363336,0.333210,0.316062,0.342911,0.285081,0.369458,0.266322,0.257363,0.259017,0.325057,0.506670,0.266621,1.000000,0.646974,0.612431,0.737865,0.459214,0.477146,0.433514,0.405073,0.427940,0.371054,0.347299,0.306097,0.291317,0.300070,0.271782,0.211958,0.337319,0.560181,0.478942,0.404378,0.291404,0.442715,0.442799,0.335468,0.390069,0.619001,0.571266,0.266593
side table#203,0.451008,0.494474,0.377033,0.403024,0.383352,0.475932,0.420120,0.449399,0.435782,0.514435,0.370562,0.363618,0.372968,0.274525,0.316688,0.296457,0.302205,0.267932,0.289700,0.224169,0.249707,0.495083,0.271262,0.646974,1.000000,0.645316,0.645519,0.402945,0.477097,0.478162,0.446075,0.411296,0.291231,0.399008,0.306076,0.297790,0.233835,0.322655,0.248474,0.417211,0.512550,0.428992,0.490189,0.310841,0.370751,0.491457,0.388892,0.328905,0.682722,0.505928,0.207359
side table#204,0.573296,0.528671,0.392501,0.487784,0.499730,0.555971,0.562256,0.507501,0.598165,0.673969,0.271741,0.338661,0.347204,0.373330,0.385078,0.344203,0.399192,0.453568,0.360885,0.424180,0.332065,0.486558,0.221052,0.612431,0.645316,1.000000,0.689575,0.499000,0.500338,0.567464,0.478544,0.534140,0.298358,0.448679,0.379238,0.413463,0.346659,0.379071,0.325288,0.357242,0.555362,0.555844,0.460868,0.419819,0.401302,0.454244,0.468683,0.419342,0.496998,0.499500,0.241927
