object,cabinet#130,cabinet#134,cabinet#135,cabinet#136,cabinet#140,cabinet#141,cabinet#143,cabinet#145,cabinet#146,cabinet#147,chair#131,chair#132,chair#139,clock#137,coffee maker#138,coffee maker#142,dining table#133,outlet#144,picture frame#129,refrigerator#128,clock#200,couch#199,shelf#202,side table#201,side table#203,side table#204,side table#205,cabinet#523,cabinet#524,cabinet#525,cabinet#526,cabinet#527,chair#518,chair#519,coffee maker#529,coffee maker#531,fireplace#528,fireplace#530,microwave#520,oven#521,side table#522,side table#532,chair#593,clock#589,couch#588,couch#592,fireplace#594,fireplace#595,side table#587,side table#590,table lamp#591
cabinet#130,1.000000,0.140769,0.166193,0.132239,0.159679,0.171539,0.246396,0.225887,0.168802,0.165939,0.092432,0.081522,0.088198,0.049046,0.126025,0.117773,0.074799,0.068414,0.097036,0.107581,0.302038,0.258152,0.188644,0.337511,0.364628,0.370168,0.353170,0.603428,0.709929,0.533621,0.558519,0.480470,0.263534,0.312131,0.502383,0.508940,0.202541,0.240381,0.288150,0.349505,0.344792,0.254136,0.379690,0.220474,0.342906,0.384876,0.236414,0.261789,0.384009,0.346384,0.197914
cabinet#134,0.140769,1.000000,0.136015,0.108218,0.111843,0.143685,0.153164,0.158151,0.126311,0.183643,0.066241,0.086999,0.099443,0.058798,0.104710,0.075872,0.062126,0.055650,0.050938,0.122159,0.314492,0.277100,0.196038,0.277676,0.272019,0.267592,0.300827,0.530055,0.568744,0.442759,0.456252,0.408045,0.321462,0.258075,0.385395,0.388128,0.152589,0.172182,0.142934,0.283139,0.323766,0.220774,0.377302,0.217072,0.293407,0.376090,0.230697,0.155956,0.291432,0.297941,0.142132
cabinet#135,0.166193,0.136015,1.000000,0.160278,0.160089,0.175882,0.159250,0.153267,0.183935,0.145257,0.081486,0.076881,0.111091,0.044847,0.120729,0.119339,0.083512,0.075947,0.051677,0.090509,0.242892,0.308260,0.196799,0.450314,0.404652,0.385190,0.361777,0.596640,0.808709,0.550378,0.641241,0.615389,0.313091,0.289353,0.507938,0.576854,0.151683,0.181194,0.248190,0.297467,0.507511,0.298844,0.439216,0.167491,0.267077,0.429563,0.221853,0.174311,0.417224,0.489385,0.155472
cabinet#136,0.132239,0.108218,0.160278,1.000000,0.187432,0.165818,0.131320,0.131884,0.196571,0.142400,0.099678,0.060003,0.100777,0.053566,0.096687,0.106508,0.138060,0.130793,0.068945,0.075530,0.245189,0.301011,0.168550,0.477170,0.408537,0.442300,0.344211,0.581786,0.733075,0.724861,0.655643,0.745466,0.352416,0.448765,0.458605,0.489523,0.230835,0.213020,0.391170,0.494312,0.501481,0.279607,0.547664,0.200098,0.257730,0.468235,0.249706,0.279311,0.463141,0.597583,0.216944
cabinet#140,0.159679,0.111843,0.160089,0.187432,1.000000,0.179185,0.159947,0.145043,0.213972,0.155724,0.091017,0.077411,0.105939,0.048558,0.111814,0.130879,0.091259,0.109465,0.088612,0.094322,0.200013,0.312460,0.162484,0.380896,0.351798,0.334473,0.267854,0.474656,0.743374,0.606580,0.593497,0.632274,0.352090,0.446277,0.496320,0.531194,0.144073,0.147430,0.299912,0.426417,0.374392,0.179815,0.467070,0.210678,0.276297,0.425254,0.149634,0.202921,0.355490,0.426718,0.178270
cabinet#141,0.171539,0.143685,0.175882,0.165818,0.179185,1.000000,0.175707,0.172163,0.211250,0.176666,0.086204,0.093931,0.110117,0.049216,0.150857,0.133152,0.086476,0.107889,0.061088,0.103667,0.260967,0.321177,0.177379,0.460197,0.432775,0.371629,0.347439,0.549729,0.797254,0.620099,0.546092,0.610021,0.282189,0.354150,0.526877,0.606355,0.215872,0.205459,0.215719,0.334116,0.446611,0.246001,0.489387,0.180331,0.296191,0.413929,0.224154,0.225092,0.395364,0.482599,0.174356
cabinet#143,0.246396,0.153164,0.159250,0.131320,0.159947,0.175707,1.000000,0.234264,0.170273,0.178115,0.094831,0.086482,0.090679,0.050880,0.132437,0.113149,0.076582,0.069568,0.097523,0.121220,0.306423,0.258165,0.190271,0.337576,0.364690,0.370236,0.353231,0.586454,0.691192,0.531188,0.545564,0.472794,0.262931,0.321441,0.494500,0.502569,0.202405,0.240241,0.277980,0.347346,0.344361,0.254107,0.379474,0.233400,0.342860,0.384658,0.235977,0.261319,0.385479,0.345270,0.199632
cabinet#145,0.225887,0.158151,0.153267,0.131884,0.145043,0.172163,0.234264,1.000000,0.168004,0.181014,0.093126,0.087069,0.083737,0.052904,0.131781,0.102656,0.082110,0.073282,0.090173,0.127269,0.317105,0.216512,0.195733,0.346761,0.382817,0.385321,0.333942,0.592469,0.684726,0.534370,0.569080,0.471568,0.226690,0.321084,0.469719,0.480964,0.217003,0.265649,0.269043,0.317005,0.353924,0.273486,0.340685,0.248553,0.316715,0.353376,0.252240,0.277053,0.414854,0.354855,0.197861
cabinet#146,0.168802,0.126311,0.183935,0.196571,0.213972,0.211250,0.170273,0.168004,1.000000,0.175142,0.084517,0.085413,0.121541,0.048665,0.141190,0.134057,0.095656,0.101637,0.067863,0.090482,0.261570,0.338997,0.160984,0.505566,0.466725,0.447286,0.328979,0.508146,0.855445,0.649517,0.645236,0.725591,0.290852,0.421625,0.542291,0.597401,0.208481,0.207751,0.242185,0.332885,0.486875,0.255513,0.472412,0.184141,0.274066,0.398237,0.215047,0.224749,0.452036,0.538547,0.160594
cabinet#147,0.165939,0.183643,0.145257,0.142400,0.155724,0.176666,0.178115,0.181014,0.175142,1.000000,0.089084,0.107543,0.137177,0.065819,0.121666,0.086591,0.080926,0.093434,0.086091,0.119454,0.331385,0.368464,0.209352,0.480728,0.439031,0.403357,0.368388,0.496542,0.696217,0.651861,0.567189,0.622327,0.310152,0.392339,0.364618,0.443103,0.207967,0.204147,0.206640,0.288271,0.461526,0.258471,0.493666,0.286220,0.345385,0.418271,0.211422,0.228142,0.418132,0.478453,0.182351
