label,view_00019|mirror|obj191,view_00019|lamp|obj193,view_00019|chair|obj194,view_00019|table|obj195,view_00019|ceiling light|obj196,view_00019|refrigerator|obj197,view_00019|door|obj198,view_00019|table|obj199,view_00019|cabinet|obj200,view_00019|window|obj201,view_00019|sink|obj203,view_00024|lamp|obj256,view_00024|couch|obj257,view_00024|table|obj258,view_00024|stairs|obj259,view_00024|door|obj262,view_00024|chair|obj265,view_00024|table|obj266,view_00024|art|obj267,view_00058|chair|obj661,view_00058|table|obj663,view_00058|pet item|obj665,view_00058|cabinet|obj666,view_00058|ceiling light|obj667,view_00058|microwave|obj668,view_00058|window|obj669,view_00058|sink|obj671,view_00058|stove|obj672,view_00058|unknown|obj673,view_00058|chair|obj674,view_00058|table|obj675,view_00058|curtain|obj676,view_00058|tv|obj677,view_00058|plant|obj679,view_00065|chair|obj747,view_00065|table|obj748,view_00065|window|obj749,view_00065|mirror|obj750,view_00065|tv|obj751,view_00065|chair|obj752,view_00065|ceiling light|obj753,view_00065|picture frame|obj754,view_00065|window|obj755,view_00065|couch|obj756,view_00065|lamp|obj758,view_00065|stairs|obj759,view_00065|couch|obj760,view_00065|plant|obj761,view_00065|table|obj762
view_00019|mirror|obj191,1.0000,0.4423,0.3642,0.3269,0.4101,0.4055,0.6019,0.3526,0.4943,0.4450,0.3573,0.5277,0.4721,0.4833,0.4183,0.4122,0.4305,0.3445,0.5785,0.4339,0.3543,0.4225,0.4677,0.4129,0.4662,0.4714,0.3922,0.3967,0.4052,0.4217,0.4451,0.4246,0.4963,0.4438,0.4124,0.3947,0.4631,0.6904,0.5674,0.4262,0.4747,0.5182,0.4769,0.3999,0.4162,0.3696,0.4626,0.4344,0.4905
view_00019|lamp|obj193,0.4423,1.0000,0.6238,0.6474,0.7215,0.6614,0.5292,0.6078,0.5480,0.5306,0.5039,0.5634,0.4543,0.5606,0.4135,0.4993,0.4469,0.4471,0.3274,0.4507,0.6054,0.5951,0.5878,0.8270,0.5988,0.5623,0.5722,0.5846,0.3738,0.4381,0.3563,0.4701,0.4246,0.3772,0.4007,0.5639,0.5275,0.4676,0.4884,0.3909,0.7919,0.5531,0.5740,0.4812,0.5820,0.4238,0.4884,0.4282,0.5659
view_00019|chair|obj194,0.3642,0.6238,1.0000,0.6335,0.4964,0.5515,0.4608,0.6588,0.5280,0.4335,0.4583,0.4342,0.5583,0.4936,0.3904,0.5164,0.6424,0.4964,0.3184,0.7777,0.5730,0.5656,0.6167,0.5660,0.4818,0.4668,0.4489,0.4801,0.4137,0.6483,0.4371,0.4067,0.3574,0.3378,0.6975,0.6068,0.4403,0.4182,0.4366,0.5941,0.5856,0.4473,0.4563,0.5907,0.4338,0.4266,0.5106,0.3782,0.5030
view_00019|table|obj195,0.3269,0.6474,0.6335,1.0000,0.5132,0.6321,0.4829,0.6896,0.5601,0.4951,0.5246,0.4118,0.4914,0.4975,0.4193,0.4350,0.4763,0.7564,0.3044,0.4748,0.7217,0.5934,0.5821,0.5954,0.5775,0.5588,0.5843,0.5405,0.4186,0.4855,0.4715,0.4595,0.4271,0.3825,0.5607,0.8201,0.4883,0.4566,0.4921,0.4866,0.5847,0.5444,0.5547,0.5179,0.4340,0.4091,0.4468,0.4658,0.5480
view_00019|ceiling light|obj196,0.4101,0.7215,0.4964,0.5132,1.0000,0.5548,0.5157,0.5086,0.4584,0.4186,0.4676,0.5261,0.4303,0.4794,0.4177,0.5184,0.3741,0.3617,0.3001,0.3955,0.5305,0.5045,0.5077,0.8588,0.4918,0.4756,0.4645,0.4501,0.3649,0.4137,0.2842,0.4328,0.3617,0.3311,0.3456,0.4770,0.4714,0.4116,0.4294,0.3526,0.7777,0.5110,0.5244,0.4579,0.5030,0.3846,0.4030,0.3499,0.4599
view_00019|refrigerator|obj197,0.4055,0.6614,0.5515,0.6321,0.5548,1.0000,0.5958,0.5250,0.6289,0.5194,0.6259,0.4057,0.5027,0.4386,0.4355,0.5441,0.4176,0.4061,0.3311,0.4376,0.5933,0.5271,0.6392,0.6154,0.7168,0.5453,0.5536,0.6490,0.4126,0.4745,0.3559,0.5208,0.4489,0.3762,0.3627,0.5702,0.5866,0.5259,0.5427,0.4239,0.6348,0.6039,0.6268,0.5383,0.4119,0.4332,0.4303,0.4282,0.4305
view_00019|door|obj198,0.6019,0.5292,0.4608,0.4829,0.5157,0.5958,1.0000,0.5324,0.5523,0.4851,0.3958,0.4435,0.4627,0.4340,0.5378,0.6700,0.4187,0.3382,0.4950,0.4202,0.5074,0.5310,0.6589,0.5188,0.5978,0.6105,0.4841,0.5054,0.4568,0.4276,0.4124,0.4738,0.4729,0.4503,0.3565,0.4457,0.5367,0.6218,0.5767,0.3575,0.5819,0.6898,0.6310,0.4909,0.3936,0.5298,0.4110,0.4711,0.4463
view_00019|table|obj199,0.3526,0.6078,0.6588,0.6896,0.5086,0.5250,0.5324,1.0000,0.5140,0.5363,0.3900,0.4168,0.4536,0.5452,0.4074,0.4659,0.5345,0.5185,0.3215,0.5706,0.6234,0.5359,0.6955,0.5775,0.5072,0.6781,0.4936,0.4714,0.4143,0.4848,0.5020,0.4374,0.3781,0.3634,0.5132,0.6396,0.5475,0.4465,0.4860,0.4836,0.5880,0.5594,0.6221,0.5026,0.4044,0.4405,0.4118,0.4343,0.5484
view_00019|cabinet|obj200,0.4943,0.5480,0.5280,0.5601,0.4584,0.6289,0.5523,0.5140,1.0000,0.6284,0.6190,0.4689,0.6086,0.6086,0.4512,0.5101,0.6732,0.5844,0.5910,0.5570,0.4937,0.4584,0.7256,0.4953,0.5958,0.4989,0.4836,0.5372,0.6290,0.6314,0.7443,0.6103,0.7298,0.6156,0.5258,0.5730,0.5632,0.5742,0.6332,0.5530,0.5345,0.5137,0.4927,0.5637,0.5132,0.5845,0.6310,0.6444,0.7222
view_00019|window|obj201,0.4450,0.5306,0.4335,0.4951,0.4186,0.5194,0.4851,0.5363,0.6284,1.0000,0.5519,0.4696,0.4548,0.4131,0.4558,0.3870,0.4982,0.4666,0.4838,0.4118,0.4851,0.4242,0.5784,0.5215,0.5078,0.7806,0.4559,0.5087,0.5383,0.4707,0.5227,0.6796,0.5994,0.5528,0.4006,0.5094,0.7020,0.5401,0.5759,0.3780,0.5601,0.5059,0.6643,0.4375,0.4580,0.5535,0.4813,0.5538,0.5481
