id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c4,mem:c5,mem:c6,mem:c7,mem:c8,mem:c9,mem:c10,mem:c11,mem:c12,mem:c13,mem:c14,mem:c15,mem:c16,mem:c17,mem:c18,mem:c19,mem:c20,mem:c21,mem:c22,mem:c23,mem:c24,mem:c25,mem:c26,mem:c27,mem:c28,mem:c29,mem:c30,mem:c31,mem:c32,mem:c33,mem:c34,mem:c35,mem:c36,mem:c37,mem:c38,mem:c39,mem:c40,mem:c41,mem:c42
cur:obj184@view_00023,0.232912,0.383801,0.206410,0.407379,0.414697,0.355188,0.285071,0.306187,0.834588,0.365219,0.457556,0.194638,0.453346,0.540114,0.347999,0.436025,0.414752,0.354983,0.219893,0.309183,0.512422,0.378573,0.508584,0.306541,0.903428,0.202844,0.437123,0.207351,0.204235,0.287034,0.486970,0.418146,0.359331,0.239750,0.497619,0.198162,0.494100,0.484998,0.529451,0.315076,0.510214,0.466046,0.528420
cur:obj185@view_00023,0.123655,0.160663,0.179521,0.294585,0.260881,0.258996,0.743166,0.337580,0.272031,0.333794,0.307364,0.145007,0.332337,0.363810,0.309865,0.298303,0.336261,0.297670,0.527132,0.284154,0.274753,0.250226,0.331637,0.618880,0.289636,0.162683,0.312901,0.426673,0.798934,0.203745,0.365310,0.268259,0.229001,0.208532,0.238857,0.651746,0.343448,0.202086,0.345457,0.234816,0.331573,0.308539,0.376052
cur:obj186@view_00023,0.208688,0.270150,0.269024,0.214967,0.218240,0.199101,0.175425,0.290512,0.359754,0.341997,0.288577,0.190649,0.293035,0.261846,0.269521,0.250316,0.276056,0.315518,0.279970,0.238082,0.218383,0.303322,0.258060,0.240524,0.309286,0.398284,0.259788,0.286154,0.155915,0.210550,0.254340,0.201233,0.241409,0.722727,0.314392,0.154807,0.305294,0.290744,0.290912,0.391651,0.281964,0.312520,0.336071
cur:obj187@view_00023,0.348277,0.332229,0.288528,0.399262,0.332100,0.541330,0.203542,0.376345,0.362463,0.474946,0.430889,0.374730,0.444438,0.361256,0.508218,0.568250,0.467784,0.434845,0.418512,0.442448,0.295652,0.255059,0.405938,0.347091,0.286571,0.238659,0.408502,0.399492,0.195839,0.644870,0.344730,0.298652,0.443754,0.276679,0.267654,0.244020,0.462416,0.251406,0.421092,0.512499,0.443526,0.447860,0.376438
cur:obj188@view_00023,0.191243,0.295986,0.246769,0.639517,0.668068,0.335263,0.314581,0.313165,0.424923,0.575587,0.811801,0.216376,0.816374,0.570380,0.601514,0.614341,0.556164,0.677236,0.267230,0.646243,0.578457,0.394981,0.721928,0.402787,0.470275,0.275720,0.897961,0.261056,0.331729,0.330504,0.609479,0.727722,0.465732,0.257300,0.521464,0.339296,0.688854,0.423041,0.882760,0.347410,0.833481,0.697675,0.652321
cur:obj189@view_00023,0.139129,0.231841,0.174433,0.533467,0.547588,0.319693,0.334578,0.242406,0.457314,0.500834,0.607430,0.175274,0.699762,0.688623,0.500511,0.523477,0.489228,0.612239,0.228908,0.547045,0.592644,0.331916,0.736643,0.430472,0.513035,0.251530,0.717076,0.216618,0.297184,0.250324,0.807621,0.557474,0.393784,0.257654,0.371423,0.345423,0.532529,0.283575,0.695329,0.308799,0.764061,0.482674,0.836685
cur:obj190@view_00023,0.226056,0.262556,0.342782,0.169726,0.177726,0.182868,0.161656,0.277646,0.325378,0.286491,0.196780,0.155777,0.210261,0.191133,0.203869,0.220397,0.206274,0.245985,0.284189,0.189479,0.187626,0.298953,0.212799,0.205901,0.255229,0.396711,0.194566,0.309369,0.157043,0.199113,0.229476,0.190097,0.191955,0.803954,0.289101,0.146012,0.255610,0.304426,0.202720,0.376202,0.216860,0.235346,0.246693
cur:obj191@view_00023,0.303446,0.332358,0.197865,0.507322,0.587964,0.369271,0.280744,0.292142,0.399948,0.599503,0.648118,0.247498,0.670410,0.548749,0.608282,0.602120,0.673108,0.580632,0.250056,0.514613,0.512919,0.423951,0.601398,0.365813,0.430054,0.233936,0.697738,0.253672,0.269998,0.329647,0.559860,0.585325,0.561265,0.254946,0.522999,0.314458,0.785798,0.467877,0.661822,0.398626,0.659420,0.746009,0.580278
cur:obj192@view_00023,0.198036,0.318407,0.230716,0.594863,0.603013,0.333979,0.278984,0.300822,0.405252,0.551278,0.757615,0.211715,0.709916,0.504288,0.569169,0.543094,0.530430,0.637655,0.253604,0.604942,0.471893,0.345212,0.588226,0.375325,0.431781,0.260738,0.809808,0.231577,0.278973,0.308334,0.491057,0.655155,0.437697,0.273007,0.465401,0.269657,0.641057,0.418491,0.800172,0.364704,0.675633,0.664739,0.569536
cur:obj193@view_00023,0.209971,0.344122,0.182115,0.588137,0.591303,0.301448,0.277527,0.264276,0.461499,0.538205,0.706263,0.219567,0.738109,0.585708,0.599790,0.539510,0.510732,0.628600,0.235747,0.583665,0.551472,0.394426,0.678927,0.351094,0.506306,0.246822,0.792877,0.228502,0.255908,0.280326,0.639654,0.604061,0.439435,0.279307,0.479877,0.270549,0.598479,0.356601,0.765214,0.331109,0.768290,0.577753,0.706036
cur:obj194@view_00023,0.153799,0.185317,0.253131,0.317132,0.265881,0.405106,0.681721,0.376304,0.315885,0.416057,0.335905,0.200953,0.360811,0.356542,0.338604,0.330541,0.391851,0.346711,0.518951,0.314437,0.307351,0.303506,0.381203,0.629137,0.331307,0.183644,0.329676,0.412678,0.747190,0.369990,0.358834,0.263387,0.344508,0.256479,0.281277,0.647204,0.441411,0.220063,0.371648,0.239004,0.354324,0.402779,0.357563
cur:obj195@view_00023,0.173994,0.261699,0.215907,0.563841,0.598479,0.386602,0.385675,0.283196,0.520663,0.492317,0.575143,0.217858,0.645713,0.797574,0.491154,0.454974,0.595697,0.581588,0.252373,0.539649,0.682151,0.305922,0.707344,0.436569,0.549882,0.249388,0.641651,0.243476,0.312364,0.277908,0.864414,0.568594,0.476334,0.274438,0.347407,0.383099,0.554313,0.280483,0.625102,0.276678,0.697741,0.497084,0.786776
cur:obj196@view_00023,0.136554,0.261303,0.221632,0.585603,0.513225,0.312644,0.376007,0.280772,0.491508,0.489508,0.621206,0.180071,0.656870,0.706024,0.538227,0.505146,0.467248,0.580996,0.244018,0.533464,0.582067,0.300597,0.706034,0.393793,0.541021,0.241501,0.663005,0.261339,0.315748,0.244229,0.767644,0.527831,0.404975,0.295785,0.378017,0.307059,0.496015,0.278305,0.694605,0.315634,0.688968,0.483594,0.838617
cur:obj197@view_00023,0.200861,0.165203,0.261053,0.326936,0.276068,0.336094,0.634820,0.409525,0.261728,0.342802,0.334521,0.187633,0.320124,0.320221,0.320964,0.347933,0.311619,0.326214,0.474701,0.318405,0.265673,0.182645,0.344962,0.699064,0.251472,0.197063,0.308267,0.389315,0.692195,0.287829,0.317747,0.281259,0.283223,0.200440,0.195698,0.775503,0.352139,0.170063,0.308964,0.228331,0.328909,0.335839,0.314685
cur:obj198@view_00023,0.173608,0.312910,0.253617,0.637328,0.707761,0.349845,0.339072,0.312880,0.489690,0.538589,0.728879,0.229243,0.737802,0.652080,0.558811,0.521692,0.593600,0.632184,0.267944,0.606752,0.694492,0.415046,0.709163,0.365441,0.542676,0.264906,0.785831,0.264063,0.314115,0.330981,0.681394,0.725348,0.528505,0.285259,0.528379,0.334354,0.704683,0.414994,0.790191,0.306833,0.799442,0.677311,0.626484
