id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c6,mem:c11,mem:c25,mem:c43,mem:c44,mem:c45,mem:c46,mem:c47,mem:c48,mem:c49,mem:c50,mem:c51,mem:c52,mem:c53,mem:c54
cur:obj221@view_00027,0.214023,0.357692,0.184197,0.499369,0.410798,0.252602,0.272557,0.452779,0.343812,0.340244,0.433629,0.475870,0.427271,0.479402,0.836125,0.240878,0.334626,0.246406,0.255653
cur:obj222@view_00027,0.188101,0.283662,0.222145,0.758451,0.364912,0.320522,0.317483,0.733411,0.622291,0.772623,0.740619,0.648515,0.687014,0.644291,0.375820,0.366701,0.335502,0.329622,0.239684
cur:obj223@view_00027,0.212579,0.312096,0.296610,0.747612,0.354667,0.331944,0.317167,0.757869,0.640936,0.797042,0.664679,0.588502,0.557580,0.566943,0.408621,0.380322,0.319466,0.329313,0.254195
cur:obj224@view_00027,0.283128,0.450617,0.261499,0.511320,0.269432,0.306961,0.318053,0.397611,0.480949,0.455350,0.346258,0.271871,0.279487,0.251897,0.443504,0.261211,0.235309,0.182633,0.323002
cur:obj225@view_00027,0.325087,0.442269,0.264603,0.610310,0.279077,0.373564,0.332872,0.453389,0.615808,0.525977,0.489216,0.363386,0.390759,0.434799,0.409510,0.427813,0.294165,0.302615,0.277949
cur:obj226@view_00027,0.334031,0.499485,0.183985,0.613523,0.271023,0.398080,0.263781,0.474382,0.611205,0.466592,0.472871,0.449905,0.414472,0.414356,0.366902,0.446462,0.299605,0.257716,0.252225
cur:obj227@view_00027,0.139950,0.237272,0.225305,0.661477,0.404754,0.278493,0.296878,0.656629,0.530936,0.520733,0.697214,0.762483,0.821132,0.793630,0.431322,0.333839,0.369394,0.327716,0.229496
cur:obj228@view_00027,0.264975,0.272105,0.289525,0.356098,0.249899,0.346983,0.356555,0.231667,0.278591,0.256456,0.270190,0.249564,0.311254,0.289576,0.255776,0.566803,0.283709,0.267204,0.395077
cur:obj229@view_00027,0.150605,0.259957,0.253898,0.722299,0.354340,0.303174,0.254192,0.716539,0.569851,0.656254,0.670242,0.678925,0.715233,0.653186,0.443757,0.317336,0.335726,0.318015,0.192473
cur:obj230@view_00027,0.168577,0.309720,0.176455,0.464726,0.355065,0.258536,0.282187,0.389482,0.381115,0.349234,0.345725,0.307187,0.309577,0.290187,0.414191,0.147308,0.300463,0.198812,0.221580
cur:obj231@view_00027,0.147776,0.235499,0.195516,0.695451,0.411440,0.309570,0.293738,0.719196,0.528981,0.557236,0.724141,0.755360,0.793029,0.770354,0.494332,0.346242,0.368814,0.344528,0.216299
cur:obj232@view_00027,0.331832,0.417662,0.207293,0.454030,0.219373,0.361079,0.275474,0.314830,0.450260,0.358794,0.315265,0.245855,0.271770,0.237702,0.354578,0.370271,0.250946,0.202536,0.245504
cur:obj233@view_00027,0.176693,0.274265,0.194469,0.668551,0.406984,0.300488,0.262775,0.576951,0.724174,0.565172,0.580890,0.579275,0.613530,0.612054,0.414740,0.319286,0.387320,0.353368,0.225556
cur:obj234@view_00027,0.160935,0.324511,0.238539,0.538427,0.426847,0.236887,0.309945,0.458447,0.455074,0.474978,0.445518,0.449367,0.435844,0.506408,0.317698,0.279329,0.389697,0.360753,0.250082
cur:obj235@view_00027,0.156316,0.302444,0.194990,0.461006,0.483513,0.236772,0.315139,0.457646,0.383707,0.333311,0.368098,0.393036,0.403675,0.368235,0.502542,0.240121,0.474137,0.304664,0.355091
cur:obj236@view_00027,0.203095,0.320180,0.219633,0.439633,0.358937,0.221805,0.213236,0.409764,0.391596,0.321985,0.331117,0.356408,0.324965,0.312796,0.564553,0.214200,0.356640,0.283929,0.217897
cur:obj237@view_00027,0.149686,0.243832,0.189486,0.715186,0.369530,0.264983,0.306795,0.713111,0.578131,0.622961,0.737969,0.764762,0.845573,0.755075,0.471698,0.338229,0.373617,0.326645,0.277939
cur:obj238@view_00027,0.197218,0.303360,0.204810,0.653508,0.475209,0.317828,0.291131,0.566580,0.663499,0.508507,0.552497,0.597611,0.625383,0.562667,0.440283,0.387249,0.477679,0.388880,0.252379
