id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c4,mem:c5,mem:c7,mem:c8,mem:c9,mem:c11,mem:c12,mem:c13,mem:c14,mem:c16,mem:c17,mem:c19,mem:c20,mem:c21,mem:c22,cur:obj518@view_00058,cur:obj519@view_00058,cur:obj520@view_00058,cur:obj521@view_00058,cur:obj522@view_00058,cur:obj523@view_00058,cur:obj524@view_00058,cur:obj525@view_00058,cur:obj526@view_00058,cur:obj527@view_00058,cur:obj528@view_00058,cur:obj529@view_00058,cur:obj530@view_00058,cur:obj531@view_00058,cur:obj532@view_00058
mem:c0,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.121919,-0.092564,-0.000000,-0.095057,-0.098772,-0.085104,-0.100081,-0.101782,-0.000000,-0.100621,-0.000000,-0.103821,-0.000000
mem:c1,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.106276,-0.097284,-0.000000,-0.095108,-0.090490,-0.081979,-0.000000,-0.096428,-0.000000,-0.130239,-0.000000,-0.135378,-0.000000
mem:c2,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.079866,-0.000000,-0.083664,-0.071577,-0.086340,-0.108064,-0.118198,-0.101296,-0.124801,-0.118262,-0.000000,-0.079641,-0.000000,-0.081810,-0.086039
mem:c3,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.198565,-0.302945,-0.000000,-0.000000,-0.155824,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
mem:c4,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.301326,-0.000000,-0.000000,-0.183429,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
mem:c5,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.149841,-0.000000,-0.000000,-0.000000,-0.139272,-0.108257,-0.000000,-0.111524,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.140008
mem:c7,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.121933,-0.089658,-0.091679,-0.087461,-0.094197,-0.091326,-0.092546,-0.101492,-0.103929,-0.098683,-0.000000,-0.065604,-0.125866,-0.068247,-0.083509
mem:c8,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.085610,-0.000000,-0.098083,-0.098794,-0.089561,-0.091777,-0.090951,-0.103609,-0.105371,-0.095041,-0.000000,-0.079003,-0.000000,-0.087577,-0.080730
mem:c9,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.372738,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
mem:c11,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.170449,-0.174818,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
mem:c12,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.097946,-0.000000,-0.074557,-0.080030,-0.091579,-0.086090,-0.095563,-0.087000,-0.090637,-0.081869,-0.170601,-0.085409,-0.130609,-0.092435,-0.090866
mem:c13,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.086410,-0.000000,-0.075429,-0.077557,-0.098664,-0.084756,-0.097792,-0.094753,-0.095152,-0.087376,-0.174961,-0.090916,-0.147005,-0.099928,-0.098167
mem:c14,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.142299,-0.123389,-0.000000,-0.000000,-0.106964,-0.000000,-0.000000,-0.000000,-0.000000,-0.206232,-0.000000,-0.214079,-0.000000
mem:c16,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.127089,-0.144438,-0.000000,-0.117969,-0.000000,-0.091501,-0.000000,-0.109053,-0.000000,-0.097979,-0.000000,-0.000000,-0.000000,-0.000000,-0.116453
