id,mem:c0,mem:c3,mem:c5,mem:c20,mem:c22,mem:c23,mem:c24,mem:c25,mem:c26,mem:c27,mem:c28,mem:c29,mem:c30,mem:c31,mem:c32,mem:c33,mem:c34,cur:obj587@view_00065,cur:obj588@view_00065,cur:obj589@view_00065,cur:obj590@view_00065,cur:obj591@view_00065,cur:obj592@view_00065,cur:obj593@view_00065,cur:obj594@view_00065,cur:obj595@view_00065
mem:c0,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.143689,-0.121704,-0.171309,-0.111418,-0.000000,-0.118429,-0.119943,-0.104233,-0.106038
mem:c3,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.202084,-0.000000,-0.230943,-0.111268,-0.281098,-0.129713,-0.134064,-0.000000,-0.000000
mem:c5,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.186824,-0.137636,-0.000000,-0.136785,-0.219589,-0.111164,-0.114356,-0.096161,-0.129999
mem:c20,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.660672,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
mem:c22,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
mem:c23,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.140903,-0.109045,-0.000000,-0.137343,-0.000000,-0.143290,-0.149680,-0.115718,-0.109584
mem:c24,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.141123,-0.000000,-0.146093,-0.000000,-0.151695,-0.151349,-0.000000,-0.000000
mem:c25,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.156996,-0.000000,-0.156664,-0.157647,-0.133592,-0.000000
mem:c26,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.137259,-0.000000,-0.147257,-0.000000,-0.158601,-0.162893,-0.000000,-0.000000
mem:c27,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.267685,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
