id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c4,mem:c5,mem:c6,mem:c7,mem:c8,mem:c9,mem:c10,mem:c11,mem:c12,mem:c13,mem:c14,mem:c15,mem:c16,mem:c17,mem:c18,mem:c19,mem:c20,mem:c21,mem:c22,mem:c23,cur:obj128@view_00019,cur:obj129@view_00019,cur:obj130@view_00019,cur:obj131@view_00019,cur:obj132@view_00019,cur:obj133@view_00019,cur:obj134@view_00019,cur:obj135@view_00019,cur:obj136@view_00019,cur:obj137@view_00019,cur:obj138@view_00019,cur:obj139@view_00019,cur:obj140@view_00019,cur:obj141@view_00019,cur:obj142@view_00019,cur:obj143@view_00019,cur:obj144@view_00019,cur:obj145@view_00019,cur:obj146@view_00019,cur:obj147@view_00019
mem:c0,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.140086,-0.000000,-0.000000,-0.105089,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.173071,-0.000000,-0.000000,-0.000000
mem:c1,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.086185,-0.000000,-0.000000,-0.089851,-0.000000,-0.085538,-0.000000,-0.063610,-0.059629,-0.127308,-0.000000,-0.094218,-0.000000,-0.059800,-0.000000
mem:c2,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
mem:c3,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.062893,-0.000000,-0.078054,-0.000000,-0.000000,-0.063935,-0.060909,-0.088241,-0.075365,-0.000000,-0.000000,-0.000000,-0.062145,-0.057256,-0.000000,-0.071442,-0.056379,-0.067350,-0.064130,-0.061168
mem:c4,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.065197,-0.000000,-0.082369,-0.000000,-0.000000,-0.000000,-0.066977,-0.102453,-0.065612,-0.000000,-0.059832,-0.068223,-0.066478,-0.065383,-0.074301,-0.074281,-0.000000,-0.077172,-0.067909,-0.061257
mem:c5,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.120382,-0.000000,-0.157370,-0.000000,-0.000000,-0.083987,-0.000000,-0.000000,-0.000000,-0.072704,-0.056546,-0.000000,-0.000000,-0.096488,-0.056318,-0.062915,-0.000000
mem:c6,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.138133,-0.307118,-0.000000,-0.073339,-0.000000,-0.000000,-0.000000,-0.000000,-0.202813,-0.000000,-0.071210,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.069213
mem:c7,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.220940,-0.127231,-0.110506,-0.000000,-0.000000,-0.070571,-0.000000,-0.000000,-0.000000,-0.061627,-0.057872,-0.000000,-0.000000,-0.072265,-0.000000,-0.061142,-0.000000
mem:c8,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.143817,-0.000000,-0.055904,-0.000000,-0.000000,-0.000000,-0.067385,-0.054766,-0.047181,-0.000000,-0.073472,-0.000000,-0.050159,-0.058249,-0.076875,-0.065074,-0.000000,-0.064257,-0.053255,-0.071591
mem:c9,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.064364,-0.081116,-0.000000,-0.067776,-0.054093,-0.057021,-0.082085,-0.000000,-0.058505,-0.000000,-0.073809,-0.069278,-0.063480,-0.063167,-0.079146,-0.058476,-0.072076,-0.057540
