id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c4,mem:c5,mem:c6,mem:c7,mem:c8,mem:c9,mem:c10,mem:c11,mem:c12,mem:c13,mem:c14,mem:c15,mem:c16,mem:c17,mem:c18,mem:c19,mem:c20,mem:c21,mem:c22,mem:c23
cur:obj128@view_00019,0.204588,0.342142,0.194268,0.410315,0.468355,0.307442,0.290735,0.261474,0.911626,0.345300,0.516211,0.166538,0.503381,0.602324,0.347410,0.452050,0.421845,0.365773,0.206970,0.309084,0.572901,0.401912,0.588130,0.320803
cur:obj129@view_00019,0.162437,0.141895,0.236813,0.259857,0.232907,0.201347,0.146904,0.178180,0.188185,0.294709,0.281971,0.165846,0.270963,0.214282,0.295646,0.262143,0.248325,0.287105,0.206127,0.305955,0.195481,0.187357,0.300208,0.246203
cur:obj130@view_00019,0.190141,0.275886,0.219415,0.651321,0.756822,0.307839,0.291185,0.286869,0.453243,0.587021,0.889638,0.214047,0.873360,0.593027,0.618558,0.635050,0.573625,0.665489,0.248378,0.635390,0.644840,0.427879,0.792715,0.369083
cur:obj131@view_00019,0.233424,0.271402,0.222932,0.296557,0.236559,0.450287,0.470270,0.806322,0.213487,0.446458,0.248574,0.336681,0.281784,0.257303,0.369653,0.289629,0.403956,0.266697,0.755834,0.265770,0.264138,0.312181,0.280782,0.343233
cur:obj132@view_00019,0.110028,0.146504,0.216723,0.248632,0.249902,0.233944,0.841903,0.373882,0.219130,0.311799,0.296923,0.111738,0.333362,0.327874,0.265235,0.259640,0.334894,0.267264,0.512833,0.272902,0.300545,0.294443,0.307536,0.672117
cur:obj133@view_00019,0.384374,0.382969,0.292279,0.410250,0.345169,0.750057,0.227796,0.513880,0.287997,0.475330,0.339433,0.434316,0.311290,0.283045,0.477619,0.440948,0.467994,0.397735,0.474315,0.402175,0.303285,0.217669,0.313395,0.320646
cur:obj134@view_00019,0.146052,0.232946,0.221479,0.472297,0.571857,0.341510,0.384461,0.247572,0.507678,0.458443,0.565135,0.158522,0.673002,0.826932,0.443894,0.480331,0.544886,0.515735,0.269998,0.479763,0.679465,0.343332,0.737003,0.438550
cur:obj135@view_00019,0.196328,0.319690,0.225558,0.692683,0.885556,0.321588,0.272215,0.321212,0.417700,0.489224,0.727036,0.184629,0.684253,0.537483,0.484500,0.598856,0.555713,0.609957,0.247721,0.611822,0.663706,0.345744,0.672117,0.366915
cur:obj136@view_00019,0.369275,0.511312,0.240887,0.619318,0.593685,0.512643,0.289937,0.420277,0.376707,0.737253,0.546857,0.333212,0.537458,0.463662,0.654884,0.629672,0.780747,0.549602,0.335305,0.534307,0.506675,0.343200,0.515779,0.315006
cur:obj137@view_00019,0.229914,0.233410,0.312930,0.258989,0.246362,0.230805,0.218815,0.341250,0.270671,0.324109,0.280421,0.175464,0.293031,0.267803,0.270849,0.248211,0.289728,0.305812,0.334965,0.294846,0.257543,0.321563,0.271700,0.232015
cur:obj138@view_00019,0.221337,0.366691,0.214565,0.303985,0.407833,0.247149,0.264705,0.330796,0.441907,0.395842,0.529398,0.227467,0.531117,0.351212,0.306274,0.431999,0.426074,0.342398,0.262993,0.292776,0.444512,0.820874,0.447988,0.247119
cur:obj139@view_00019,0.201992,0.144285,0.252319,0.346909,0.355454,0.316299,0.648787,0.346666,0.222663,0.288839,0.318512,0.135625,0.346658,0.357148,0.295372,0.309877,0.341965,0.327773,0.376131,0.348889,0.375196,0.174157,0.368397,0.788107
cur:obj140@view_00019,0.290923,0.381602,0.263225,0.538354,0.634117,0.467825,0.281690,0.386905,0.422187,0.698842,0.675356,0.257452,0.678714,0.462628,0.588027,0.804859,0.761811,0.567057,0.355952,0.568442,0.523788,0.454791,0.618136,0.368354
cur:obj141@view_00019,0.232462,0.361952,0.226783,0.501869,0.631052,0.368155,0.421983,0.367627,0.496074,0.663701,0.671046,0.212215,0.682445,0.539217,0.538236,0.645028,0.726241,0.555540,0.386171,0.500472,0.613005,0.547157,0.645230,0.356344
cur:obj142@view_00019,0.245348,0.489513,0.248311,0.305843,0.454268,0.237932,0.199289,0.242253,0.414726,0.385242,0.456035,0.172629,0.419436,0.286021,0.275436,0.463687,0.426846,0.316788,0.220989,0.285958,0.372075,0.619774,0.344451,0.233710
cur:obj143@view_00019,0.158005,0.304810,0.231719,0.589973,0.675440,0.320655,0.341925,0.337277,0.522123,0.570134,0.857379,0.230907,0.867119,0.630747,0.574463,0.617260,0.577925,0.592617,0.278142,0.564106,0.683856,0.492724,0.784799,0.356827
cur:obj144@view_00019,0.498630,0.439604,0.291353,0.379861,0.316029,0.482883,0.192332,0.352862,0.335567,0.582834,0.375088,0.440129,0.370594,0.272647,0.543924,0.455777,0.498410,0.429243,0.354890,0.423649,0.268839,0.306271,0.295188,0.237927
cur:obj145@view_00019,0.183600,0.266883,0.268651,0.565066,0.712942,0.350970,0.313058,0.290837,0.523806,0.536229,0.776044,0.213127,0.833074,0.663379,0.533934,0.644987,0.554621,0.582951,0.271445,0.590339,0.718166,0.459274,0.813913,0.418610
cur:obj146@view_00019,0.247259,0.350690,0.313411,0.543078,0.633219,0.395741,0.308649,0.375239,0.438175,0.667110,0.749002,0.250391,0.720066,0.480448,0.573016,0.706028,0.698912,0.552572,0.349742,0.542828,0.539372,0.513373,0.614737,0.377492
cur:obj147@view_00019,0.167671,0.249599,0.199140,0.474242,0.522954,0.285407,0.362783,0.233787,0.539289,0.487587,0.621856,0.148864,0.696865,0.764816,0.506299,0.504416,0.486309,0.552604,0.249742,0.467790,0.595740,0.331624,0.739571,0.453879
