id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c4,mem:c5,mem:c6,mem:c7,mem:c8,mem:c9,mem:c10,mem:c11,mem:c12,mem:c13,mem:c14,mem:c15,mem:c16,mem:c17,mem:c18,mem:c19,mem:c20,mem:c21,mem:c22,mem:c23,mem:c24,mem:c25,mem:c26,mem:c27,mem:c28,mem:c29,mem:c30,mem:c31,mem:c32,mem:c33,mem:c34,mem:c35,mem:c36,mem:c37,mem:c38,mem:c39,mem:c40,mem:c41,mem:c42,mem:c43,mem:c44,mem:c45,mem:c46,mem:c47,mem:c48,mem:c49,mem:c50,mem:c51,mem:c52,mem:c53,mem:c54,mem:c55,mem:c56
cur:obj221@view_00027,0.214023,0.357692,0.184197,0.383817,0.401368,0.294710,0.335247,0.269504,0.742490,0.283359,0.402777,0.144407,0.385635,0.472214,0.319857,0.363291,0.339127,0.318064,0.187618,0.275516,0.429167,0.313696,0.430126,0.356655,0.825303,0.182472,0.180768,0.278551,0.264546,0.438360,0.384798,0.313108,0.239858,0.422219,0.248813,0.327858,0.393988,0.387473,0.424194,0.248714,0.409628,0.356602,0.465479,0.836125,0.319114,0.255653,0.240878,0.427271,0.236536,0.343812,0.340244,0.433629,0.334626,0.475870,0.479402,0.246406,0.452779
cur:obj222@view_00027,0.188101,0.283662,0.222145,0.649656,0.674375,0.311836,0.308792,0.297589,0.384902,0.567752,0.749809,0.204333,0.826817,0.568973,0.599180,0.568841,0.543278,0.646759,0.273334,0.604863,0.563097,0.318586,0.705575,0.397848,0.414522,0.298654,0.259757,0.299101,0.309535,0.609235,0.682302,0.493964,0.281648,0.415407,0.354951,0.538842,0.602261,0.332953,0.750704,0.298714,0.818805,0.586001,0.633766,0.375820,0.314081,0.239684,0.366701,0.687014,0.186498,0.622291,0.772623,0.740619,0.335502,0.648515,0.644291,0.329622,0.733411
cur:obj223@view_00027,0.212579,0.312096,0.296610,0.667067,0.741242,0.338616,0.309077,0.288381,0.387385,0.508044,0.724624,0.186814,0.737335,0.506299,0.548677,0.537245,0.551183,0.653154,0.272393,0.623110,0.532622,0.337090,0.577067,0.399624,0.410898,0.284216,0.253051,0.305501,0.348854,0.516785,0.790335,0.498956,0.285059,0.430774,0.338260,0.595653,0.624511,0.446344,0.685794,0.310051,0.738419,0.658038,0.527012,0.408621,0.318085,0.254195,0.380322,0.557580,0.202073,0.640936,0.797042,0.664679,0.319466,0.588502,0.566943,0.329313,0.757869
cur:obj224@view_00027,0.283128,0.450617,0.261499,0.294769,0.357275,0.290585,0.195982,0.297714,0.361900,0.358176,0.395110,0.196175,0.390577,0.243288,0.291663,0.376740,0.353030,0.307703,0.261861,0.275240,0.293711,0.547587,0.284142,0.256262,0.373720,0.180527,0.282221,0.205815,0.307663,0.275511,0.407958,0.386114,0.271230,0.645326,0.204797,0.460603,0.484217,0.806996,0.396978,0.291043,0.419167,0.517222,0.232335,0.443504,0.203187,0.323002,0.261211,0.279487,0.315470,0.480949,0.455350,0.346258,0.235309,0.271871,0.251897,0.182633,0.397611
cur:obj225@view_00027,0.325087,0.442269,0.264603,0.430012,0.388084,0.379102,0.208990,0.338114,0.376878,0.580072,0.552185,0.306079,0.544329,0.364179,0.536906,0.630287,0.510152,0.458375,0.283166,0.424324,0.360892,0.393011,0.476734,0.289051,0.359553,0.253906,0.245271,0.200991,0.318159,0.373845,0.426293,0.542630,0.272772,0.480959,0.233701,0.655219,0.589475,0.463889,0.544251,0.421451,0.530322,0.660530,0.417214,0.409510,0.221656,0.277949,0.427813,0.390759,0.272695,0.615808,0.525977,0.489216,0.294165,0.363386,0.434799,0.302615,0.453389
cur:obj226@view_00027,0.334031,0.499485,0.183985,0.488869,0.502700,0.418775,0.199518,0.313478,0.350719,0.582101,0.526953,0.285163,0.536631,0.417421,0.558203,0.575635,0.588963,0.494706,0.261851,0.460008,0.410264,0.380746,0.461282,0.297480,0.330430,0.186029,0.296165,0.205225,0.384823,0.422116,0.494902,0.717069,0.236472,0.412022,0.264552,0.624953,0.563139,0.516636,0.474125,0.394908,0.492902,0.599325,0.398382,0.366902,0.222493,0.252225,0.446462,0.414472,0.211869,0.611205,0.466592,0.472871,0.299605,0.449905,0.414356,0.257716,0.474382
cur:obj227@view_00027,0.139950,0.237272,0.225305,0.551176,0.551148,0.305094,0.358195,0.262364,0.417378,0.491214,0.621656,0.172769,0.695643,0.643756,0.532892,0.540321,0.479619,0.602315,0.219638,0.532986,0.576132,0.255289,0.734505,0.444569,0.471843,0.276571,0.227532,0.350814,0.273713,0.751123,0.551075,0.416148,0.259248,0.336506,0.390800,0.481715,0.505449,0.254106,0.632712,0.277526,0.722965,0.480121,0.778955,0.431322,0.347950,0.229496,0.333839,0.821132,0.179539,0.530936,0.520733,0.697214,0.369394,0.762483,0.793630,0.327716,0.656629
cur:obj228@view_00027,0.264975,0.272105,0.289525,0.220262,0.202331,0.329765,0.186195,0.383591,0.309069,0.393082,0.260783,0.231054,0.270855,0.218738,0.288791,0.396573,0.356513,0.291838,0.401504,0.235918,0.208690,0.291618,0.297143,0.241598,0.258468,0.212028,0.405639,0.189293,0.378169,0.251541,0.185616,0.340045,0.296245,0.251830,0.171932,0.363966,0.311465,0.243691,0.288796,0.457994,0.282692,0.318834,0.330177,0.255776,0.173453,0.395077,0.566803,0.311254,0.363020,0.278591,0.256456,0.270190,0.283709,0.249564,0.289576,0.267204,0.231667
cur:obj229@view_00027,0.150605,0.259957,0.253898,0.608180,0.651367,0.353455,0.317519,0.284680,0.444312,0.455823,0.708948,0.178405,0.750254,0.640420,0.501304,0.521501,0.496444,0.579985,0.207975,0.533714,0.647289,0.269720,0.725426,0.398080,0.488986,0.238249,0.209912,0.295371,0.307599,0.642017,0.640151,0.460506,0.233996,0.395528,0.386140,0.495022,0.559498,0.310719,0.725924,0.257652,0.786875,0.532617,0.630760,0.443757,0.304074,0.192473,0.317336,0.715233,0.142253,0.569851,0.656254,0.670242,0.335726,0.678925,0.653186,0.318015,0.716539
cur:obj230@view_00027,0.168577,0.309720,0.176455,0.224849,0.283569,0.210012,0.284301,0.275174,0.355279,0.303814,0.335980,0.220929,0.362475,0.276516,0.226809,0.285085,0.339390,0.262766,0.237151,0.205782,0.332488,0.628746,0.328889,0.240223,0.389411,0.200263,0.275182,0.289607,0.198310,0.306466,0.292051,0.281853,0.261159,0.759117,0.206099,0.352390,0.462812,0.594943,0.418336,0.206672,0.391574,0.409416,0.274236,0.414191,0.267227,0.221580,0.147308,0.309577,0.217527,0.381115,0.349234,0.345725,0.300463,0.307187,0.290187,0.198812,0.389482
