id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c4,mem:c5,mem:c6,mem:c7,mem:c8,mem:c9,mem:c10,mem:c11,mem:c12,mem:c13,mem:c14,mem:c15,mem:c16,mem:c17,mem:c18,mem:c19,mem:c20,mem:c21,mem:c22,mem:c23,mem:c24,mem:c25,mem:c26,mem:c27,mem:c28
cur:obj184@view_00023,0.232912,0.383801,0.206410,0.407379,0.429599,0.343395,0.250071,0.268860,0.884423,0.365219,0.457556,0.194638,0.516690,0.556826,0.347999,0.476071,0.413011,0.354983,0.219893,0.309183,0.512422,0.452787,0.508584,0.263457,0.202844,0.239750,0.497185,0.484998,0.315076
cur:obj185@view_00023,0.123655,0.160663,0.179521,0.294585,0.271391,0.248921,0.801661,0.402955,0.285037,0.333794,0.307364,0.145007,0.350618,0.401457,0.309865,0.313288,0.297665,0.297670,0.527132,0.284154,0.274753,0.258238,0.331637,0.671578,0.162683,0.208532,0.388373,0.202086,0.234816
cur:obj186@view_00023,0.208688,0.270150,0.269024,0.214967,0.215352,0.219132,0.171159,0.302754,0.338351,0.341997,0.288577,0.190649,0.299178,0.300091,0.269521,0.298712,0.276073,0.315518,0.279970,0.238082,0.218383,0.325412,0.258060,0.209892,0.398284,0.722727,0.306480,0.290744,0.391651
cur:obj187@view_00023,0.348277,0.332229,0.288528,0.399262,0.321922,0.628214,0.205872,0.401725,0.327174,0.474946,0.430889,0.374730,0.453914,0.380199,0.508218,0.540181,0.477533,0.434845,0.418512,0.442448,0.295652,0.271565,0.405938,0.314003,0.238659,0.276679,0.364607,0.251406,0.512499
cur:obj188@view_00023,0.191243,0.295986,0.246769,0.639517,0.718662,0.360120,0.335762,0.303802,0.454646,0.575587,0.811801,0.216376,0.915977,0.668660,0.601514,0.700912,0.545215,0.677236,0.267230,0.646243,0.578457,0.475159,0.721928,0.394421,0.275720,0.257300,0.657225,0.423041,0.347410
cur:obj189@view_00023,0.139129,0.231841,0.174433,0.533467,0.570574,0.308098,0.326938,0.242518,0.493833,0.500834,0.607430,0.175274,0.774241,0.849032,0.500511,0.532889,0.471488,0.612239,0.228908,0.547045,0.592644,0.365957,0.736643,0.410317,0.251530,0.257654,0.529633,0.283575,0.308799
cur:obj190@view_00023,0.226056,0.262556,0.342782,0.169726,0.188795,0.203950,0.164564,0.308054,0.293270,0.286491,0.196780,0.155777,0.218883,0.233092,0.203869,0.242736,0.212252,0.245985,0.284189,0.189479,0.187626,0.309746,0.212799,0.186775,0.396711,0.803954,0.260664,0.304426,0.376202
cur:obj191@view_00023,0.303446,0.332358,0.197865,0.507322,0.601845,0.375919,0.285256,0.288479,0.421586,0.599503,0.648118,0.247498,0.712361,0.610508,0.608282,0.727495,0.659711,0.580632,0.250056,0.514613,0.512919,0.487643,0.601398,0.361162,0.233936,0.254946,0.776385,0.467877,0.398626
cur:obj192@view_00023,0.198036,0.318407,0.230716,0.594863,0.646471,0.347740,0.290056,0.281895,0.425187,0.551278,0.757615,0.211715,0.794127,0.570989,0.569169,0.645533,0.516665,0.637655,0.253604,0.604942,0.471893,0.420372,0.588226,0.343136,0.260738,0.273007,0.615663,0.418491,0.364704
cur:obj193@view_00023,0.209971,0.344122,0.182115,0.588137,0.616994,0.314211,0.276280,0.260257,0.491898,0.538205,0.706263,0.219567,0.824150,0.704145,0.599790,0.593051,0.507000,0.628600,0.235747,0.583665,0.551472,0.453880,0.678927,0.329029,0.246822,0.279307,0.595229,0.356601,0.331109
cur:obj194@view_00023,0.153799,0.185317,0.253131,0.317132,0.271439,0.418629,0.742011,0.416297,0.328644,0.416057,0.335905,0.200953,0.375670,0.389531,0.338604,0.400803,0.389510,0.346711,0.518951,0.314437,0.307351,0.308636,0.381203,0.674277,0.183644,0.256479,0.456578,0.220063,0.239004
cur:obj195@view_00023,0.173994,0.261699,0.215907,0.563841,0.602517,0.359310,0.361047,0.278312,0.545094,0.492317,0.575143,0.217858,0.703055,0.889986,0.491154,0.511392,0.572687,0.581588,0.252373,0.539649,0.682151,0.340193,0.707344,0.433038,0.249388,0.274438,0.576090,0.280483,0.276678
cur:obj196@view_00023,0.136554,0.261303,0.221632,0.585603,0.537679,0.300895,0.357428,0.286435,0.525973,0.489508,0.621206,0.180071,0.727394,0.839343,0.538227,0.515864,0.465902,0.580996,0.244018,0.533464,0.582067,0.354227,0.706034,0.369237,0.241501,0.295785,0.492096,0.278305,0.315634
cur:obj197@view_00023,0.200861,0.165203,0.261053,0.326936,0.285851,0.337453,0.685497,0.422419,0.260471,0.342802,0.334521,0.187633,0.335544,0.345005,0.320964,0.359667,0.315210,0.326214,0.474701,0.318405,0.265673,0.198816,0.344962,0.777525,0.197063,0.200440,0.353334,0.170063,0.228331
cur:obj198@view_00023,0.173608,0.312910,0.253617,0.637328,0.739009,0.367710,0.338637,0.304746,0.524563,0.538589,0.728879,0.229243,0.836122,0.713957,0.558811,0.651221,0.598790,0.632184,0.267944,0.606752,0.694492,0.489184,0.709163,0.370851,0.264906,0.285259,0.713071,0.414994,0.306833
