id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c4,mem:c5,mem:c6,mem:c7,mem:c8,mem:c9,mem:c10,mem:c11,mem:c12,mem:c13,mem:c14,mem:c15,mem:c16,mem:c17,mem:c18,mem:c19,mem:c20,mem:c21,mem:c22,mem:c23,mem:c24,mem:c25,mem:c26,mem:c27,mem:c28,mem:c29,mem:c30
cur:obj221@view_00027,0.214023,0.357692,0.184197,0.383817,0.404550,0.299384,0.322240,0.234731,0.842960,0.283359,0.402777,0.144407,0.437497,0.504471,0.319857,0.375980,0.345896,0.318064,0.187618,0.275516,0.429167,0.385514,0.430126,0.280982,0.182472,0.248556,0.391675,0.387473,0.248714,0.255653,0.240878
cur:obj222@view_00027,0.188101,0.283662,0.222145,0.649656,0.699190,0.336448,0.347344,0.295007,0.410183,0.567752,0.749809,0.204333,0.843994,0.699708,0.599180,0.609586,0.553697,0.646759,0.273334,0.604863,0.563097,0.383144,0.705575,0.395204,0.298654,0.244549,0.651674,0.332953,0.298714,0.239684,0.366701
cur:obj223@view_00027,0.212579,0.312096,0.296610,0.667067,0.783925,0.372428,0.346419,0.286999,0.410447,0.508044,0.724624,0.186814,0.777354,0.594790,0.548677,0.646650,0.559984,0.653154,0.272393,0.623110,0.532622,0.399712,0.577067,0.390619,0.284216,0.254380,0.673878,0.446344,0.310051,0.254195,0.380322
cur:obj224@view_00027,0.283128,0.450617,0.261499,0.294769,0.392270,0.321691,0.229508,0.306324,0.400575,0.358176,0.395110,0.196175,0.420179,0.284269,0.291663,0.477412,0.395086,0.307703,0.261861,0.275240,0.293711,0.619803,0.284142,0.233242,0.180527,0.308999,0.510598,0.806996,0.291043,0.323002,0.261211
cur:obj225@view_00027,0.325087,0.442269,0.264603,0.430012,0.417369,0.375277,0.252146,0.309220,0.389192,0.580072,0.552185,0.306079,0.552508,0.429314,0.536906,0.689813,0.561474,0.458375,0.283166,0.424324,0.360892,0.453331,0.476734,0.299748,0.253906,0.288382,0.636099,0.463889,0.421451,0.277949,0.427813
cur:obj226@view_00027,0.334031,0.499485,0.183985,0.488869,0.510916,0.431023,0.255508,0.321566,0.350381,0.582101,0.526953,0.285163,0.521631,0.460660,0.558203,0.644324,0.687976,0.494706,0.261851,0.460008,0.410264,0.411561,0.461282,0.299791,0.186029,0.236975,0.616542,0.516636,0.394908,0.252225,0.446462
cur:obj227@view_00027,0.139950,0.237272,0.225305,0.551176,0.567130,0.313632,0.385086,0.259472,0.464285,0.491214,0.621656,0.172769,0.724369,0.838486,0.532892,0.543062,0.478768,0.602315,0.219638,0.532986,0.576132,0.310036,0.734505,0.416360,0.276571,0.227646,0.553855,0.254106,0.277526,0.229496,0.333839
cur:obj228@view_00027,0.264975,0.272105,0.289525,0.220262,0.197856,0.373113,0.227200,0.410897,0.263763,0.393082,0.260783,0.231054,0.287674,0.295322,0.288791,0.381492,0.365826,0.291838,0.401504,0.235918,0.208690,0.282103,0.297143,0.247951,0.212028,0.347549,0.311063,0.243691,0.457994,0.395077,0.566803
cur:obj229@view_00027,0.150605,0.259957,0.253898,0.608180,0.664884,0.357905,0.344722,0.261604,0.482470,0.455823,0.708948,0.178405,0.789515,0.729251,0.501304,0.556892,0.510662,0.579985,0.207975,0.533714,0.647289,0.346642,0.725426,0.401024,0.238249,0.195615,0.600227,0.310719,0.257652,0.192473,0.317336
cur:obj230@view_00027,0.168577,0.309720,0.176455,0.224849,0.295423,0.216942,0.309833,0.287745,0.412626,0.303814,0.335980,0.220929,0.401632,0.321765,0.226809,0.370258,0.326328,0.262766,0.237151,0.205782,0.332488,0.727408,0.328889,0.223201,0.200263,0.251990,0.442438,0.594943,0.206672,0.221580,0.147308
